Breed,Bite_Circumstance,Date_of_Dangerous_Act,Forward_Sortation_Area
BEAGLE,VERY SEVERE,2017-03-09,M6R
AKITA,SEVERE,2017-03-11,M3M
CANE CORSO,SEVERE,2017-03-18,M4N
GOLDEN RETR,SEVERE,2017-03-23,M9W
SHEPHERD,NON SEVERE,2017-03-29,M1E
SHEPHERD,SEVERE,2017-04-13,M6L
Husky,NON SEVERE,2017-04-16,M3H
SHEPHERD,NON SEVERE,2017-04-19,M6R
BORDER COLLIE,NON SEVERE,2017-04-26,M1B
POODLE STND,SEVERE,2017-06-01,M6G
SHEPHERD,SEVERE,2017-06-03,M1H
JINDO,NON SEVERE,2017-06-21,M2R
PIT BULL TER,SEVERE,2017-06-24,M6K
BULLDOG,SEVERE,2017-06-25,M1W
SHEPHERD,SEVERE,2017-06-28,M1B
Husky,SEVERE,2017-08-02,M4K
DOBERMAN PINSCH,NON SEVERE,2017-08-14,M1L
CANE CORSO,NON SEVERE,2017-08-30,M9L
STAFFORDSHIRE MIX,VERY SEVERE,2017-09-08,M4E
SHEPHERD,NON SEVERE,2017-09-29,M9A
SHEPHERD,NON SEVERE,2017-10-02,M4J
BOXER,SEVERE,2017-10-24,M4L
ROTTWEILER,SEVERE,2017-10-24,M6N
ROTTWEILER,SEVERE,2017-11-04,M2N
BELG MALINOIS,NON SEVERE,2018-02-11,No FSA Info
LABRADOR RETR,SEVERE,2018-02-11,M6N
ROTTWEILER,NON SEVERE,2018-02-25,M4S
ROTTWEILER / STAFFORDSHIRE,SEVERE,2018-03-24,M6M
SHEPHERD,SEVERE,2018-04-08,M1P
BORDER COLLIE,SEVERE,2018-04-18,M1N
BULLDOG,SEVERE,2018-04-21,M1L
GOLDEN RETR,SEVERE,2018-05-23,M8Y
POODLE MIN,NON SEVERE,2018-05-24,M6M
SHEPHERD,VERY SEVERE,2018-06-02,M1E
LABRADOR RETR,VERY SEVERE,2018-07-09,M6A
PUG / BOSTON TERRIER,NON SEVERE,2018-07-23,M6E
BOXER,SEVERE,2018-08-03,M1W
SHIH TZU,NON SEVERE,2018-08-14,M1W
LABRADOR RETR,NON SEVERE,2018-08-15,M6A
SHEPHERD,SEVERE,2018-08-31,M4B
Husky,NOT A BITE,2018-09-17,M2J
SC WHEAT TERR,NON SEVERE,2018-09-23,M4K
CANE CORSO,SEVERE,2018-10-29,M8Y
LABRADOR RETR,SEVERE,2018-11-02,M6M
MIN PINSCHER MIX,SEVERE,2018-11-04,M9N
BOXER,SEVERE,2018-11-25,M4Y
SHEPHERD,SEVERE,2019-01-18,M9W
LABRADOR RETR,NOT A BITE,2019-01-18,M4H
SHEPHERD,SEVERE,2019-01-29,M4K
SHEPHERD,SEVERE,2019-02-10,M4J
TERRIER MIX,NON SEVERE,2019-03-15,M5N
DOBERMAN PINSCH,SEVERE,2019-03-24,M2N
BULLDOG,VERY SEVERE,2019-03-31,M3A
BULLDOG,SEVERE,2019-04-01,M8Y
BORDER COLLIE,SEVERE,2019-04-22,M8V
POODLE MIN,NON SEVERE,2019-04-24,M9P
BOXER,NON SEVERE,2019-05-08,M6H
CATTLE DOG,SEVERE,2019-05-14,M4M
SHEPHERD,NON SEVERE,2019-05-18,M2H
MASTIFF,SEVERE,2019-06-07,M1K
SHEPHERD,SEVERE,2019-06-11,M4Y
PARSON RUSS TER,NON SEVERE,2019-06-15,M1H
SHEPHERD,SEVERE,2019-06-18,M3L
SHEPHERD,SEVERE,2019-06-22,M1B
ENG COONHOUND,SEVERE,2019-06-27,M6K
BULLDOG,NON SEVERE,2019-07-01,M5B
SHEPHERD,NON SEVERE,2019-07-17,M4A
MASTIFF,SEVERE,2019-07-18,M1M
MASTIFF,NON SEVERE,2019-07-30,M3H
MASTIFF,VERY SEVERE,2019-08-03,M1E
Husky,VERY SEVERE,2019-08-03,M1E
COCKER SPAN,VERY SEVERE,2019-09-23,M3B
SHEPHERD,NOT A BITE,2019-10-10,M1S
WEIMARANER,NON SEVERE,2019-10-21,M4N
BULLDOG,SEVERE,2019-10-22,M3C
BOXER,VERY SEVERE,2019-11-22,M1J
BULLDOG,SEVERE,2019-11-27,M2R
ROTTWEILER,SEVERE,2019-12-23,M4L
BORDER COLLIE,NON SEVERE,2020-02-06,M1K
SHEPHERD,SEVERE,2020-02-21,M2M
CANE CORSO,SEVERE,2020-03-04,M1E
BOXER,NON SEVERE,2020-03-12,M2N
BULLDOG,NON SEVERE,2020-04-05,M1M
DOGO ARGENTINO,SEVERE,2020-05-03,M1W
SHEPHERD,SEVERE,2020-06-09,M8V
BEAGLE,NON SEVERE,2020-06-11,M4L
BOXER,SEVERE,2020-06-11,M1P
BULLDOG,SEVERE,2020-06-14,M5P
BULLDOG,SEVERE,2020-06-18,M9R
BULLDOG,NON SEVERE,2020-06-20,M1T
BELG MALINOIS,SEVERE,2020-07-20,M1W
BELG MALINOIS,NON SEVERE,2020-07-23,M4C
COTON DE TULEAR,NON SEVERE,2020-07-28,M4V
CANE CORSO,SEVERE,2020-08-01,M6M
HOUND,SEVERE,2020-08-14,M6K
Husky,SEVERE,2020-08-31,M2J
Husky,SEVERE,2020-08-31,M2J
BULLDOG,SEVERE,2020-09-03,M4K
AKITA,SEVERE,2020-09-08,M1K
BULLDOG,SEVERE,2020-09-13,M4C
BELG MALINOIS,NON SEVERE,2020-09-21,M4J
SHEPHERD,NON SEVERE,2020-09-23,M4V
BULLDOG,SEVERE,2020-10-20,M5A
Husky,SEVERE,2020-11-09,M5A
BULLDOG,SEVERE,2020-11-10,M4E
MASTIFF,SEVERE,2020-11-15,M1K
BULLDOG,NON SEVERE,2020-12-19,M2J
SHEPHERD,NON SEVERE,2021-01-24,M1V
AKITA,SEVERE,2021-01-26,M9R
BULLDOG,SEVERE,2021-02-11,M8Z
SHEPHERD,NON SEVERE,2021-02-21,M3H
BULLDOG,NON SEVERE,2021-03-05,M9A
MASTIFF,NON SEVERE,2021-03-18,M9B
BULLDOG,SEVERE,2021-04-08,M4J
BULLDOG,SEVERE,2021-05-04,M4J
DOGO ARGENTINO,NON SEVERE,2021-05-09,M6N
DOGO ARGENTINO,NON SEVERE,2021-05-09,M6N
BOXER,NOT A BITE,2021-05-11,M3A
COCKER SPAN,NOT A BITE,2021-05-17,M6A
BULLDOG,NON SEVERE,2021-06-02,M3C
